
cell_type	feature	quantile	value
Jurkat	H3K27me3.RPM.expandedRegion	0.4	0.691647
Jurkat	H3K27me3.RPM.expandedRegion	0.5	0.798054
Jurkat	H3K27me3.RPM.expandedRegion	0.6	0.917762
Jurkat	H3K27me3.RPM.expandedRegion	0.7	1.103975
Jurkat	H3K27me3.RPM.expandedRegion	0.75	1.223683
Jurkat	H3K27me3.RPM.expandedRegion	0.85	1.649311
Jurkat	H3K27me3.RPM.expandedRegion	0.9	2.07494
Jurkat	H3K27me3.RPM.expandedRegion	0.95	2.979401
K562	H3K27me3.RPM.expandedRegion	0.1	0.758502
K562	H3K27me3.RPM.expandedRegion	0.25	0.96880525
K562	H3K27me3.RPM.expandedRegion	0.3	1.0301855
K562	H3K27me3.RPM.expandedRegion	0.35	1.092518
K562	H3K27me3.RPM.expandedRegion	0.4	1.154969
K562	H3K27me3.RPM.expandedRegion	0.5	1.2745115
K562	H3K27me3.RPM.expandedRegion	0.6	1.409377
K562	H3K27me3.RPM.expandedRegion	0.7	1.597044
K562	H3K27me3.RPM.expandedRegion	0.75	1.7052475
K562	H3K27me3.RPM.expandedRegion	0.85	2.0738405
K562	H3K27me3.RPM.expandedRegion	0.9	2.436307
K562	H3K27me3.RPM.expandedRegion	0.95	3.711809
WTC11	H3K27me3.RPM.expandedRegion	0.1	0.528738
WTC11	H3K27me3.RPM.expandedRegion	0.25	0.7959515
WTC11	H3K27me3.RPM.expandedRegion	0.3	0.893844
WTC11	H3K27me3.RPM.expandedRegion	0.35	0.997621
WTC11	H3K27me3.RPM.expandedRegion	0.4	1.133566
WTC11	H3K27me3.RPM.expandedRegion	0.5	1.53147
WTC11	H3K27me3.RPM.expandedRegion	0.6	2.221788
WTC11	H3K27me3.RPM.expandedRegion	0.7	3.673772
WTC11	H3K27me3.RPM.expandedRegion	0.75	4.992727
WTC11	H3K27me3.RPM.expandedRegion	0.85	10.7666165
WTC11	H3K27me3.RPM.expandedRegion	0.9	17.117889
WTC11	H3K27me3.RPM.expandedRegion	0.95	28.68729
GM12878	CTCF.RPM	0.1	0.116551
GM12878	CTCF.RPM	0.25	0.176554
GM12878	CTCF.RPM	0.3	0.203099
GM12878	CTCF.RPM	0.35	0.233101
GM12878	CTCF.RPM	0.4	0.259646
GM12878	CTCF.RPM	0.5	0.316193
GM12878	CTCF.RPM	0.6	0.38311
GM12878	CTCF.RPM	0.7	0.522749
GM12878	CTCF.RPM	0.75	0.662388
GM12878	CTCF.RPM	0.85	2.896479
GM12878	CTCF.RPM	0.9	5.491481
GM12878	CTCF.RPM	0.95	8.6455328
GM12878	DHS.RPM	0.1	0.30911
GM12878	DHS.RPM	0.25	0.397209
GM12878	DHS.RPM	0.3	0.438581
GM12878	DHS.RPM	0.35	0.476495
GM12878	DHS.RPM	0.4	0.528974
GM12878	DHS.RPM	0.5	0.666875
GM12878	DHS.RPM	0.6	0.866818
GM12878	DHS.RPM	0.7	1.183196
GM12878	DHS.RPM	0.75	1.419921
GM12878	DHS.RPM	0.85	2.247678
GM12878	DHS.RPM	0.9	3.12483
GM12878	DHS.RPM	0.95	5.0420662
GM12878	H3K27ac.RPM	0.1	0.069202
GM12878	H3K27ac.RPM	0.25	0.153422
GM12878	H3K27ac.RPM	0.3	0.168438
GM12878	H3K27ac.RPM	0.35	0.222624
GM12878	H3K27ac.RPM	0.4	0.291827
GM12878	H3K27ac.RPM	0.5	0.445248
GM12878	H3K27ac.RPM	0.6	0.712923
GM12878	H3K27ac.RPM	0.7	1.212357
GM12878	H3K27ac.RPM	0.75	1.618436
GM12878	H3K27ac.RPM	0.85	3.279296
GM12878	H3K27ac.RPM	0.9	4.993713
GM12878	H3K27ac.RPM	0.95	8.609886
GM12878	H3K27ac.RPM.expandedRegion	0.1	0.084219
GM12878	H3K27ac.RPM.expandedRegion	0.25	0.222624
GM12878	H3K27ac.RPM.expandedRegion	0.3	0.27681
GM12878	H3K27ac.RPM.expandedRegion	0.35	0.32186
GM12878	H3K27ac.RPM.expandedRegion	0.4	0.406079
GM12878	H3K27ac.RPM.expandedRegion	0.5	0.628703
GM12878	H3K27ac.RPM.expandedRegion	0.6	1.019766
GM12878	H3K27ac.RPM.expandedRegion	0.7	1.741824
GM12878	H3K27ac.RPM.expandedRegion	0.75	2.346376
GM12878	H3K27ac.RPM.expandedRegion	0.85	4.750191
GM12878	H3K27ac.RPM.expandedRegion	0.9	7.280022
GM12878	H3K27ac.RPM.expandedRegion	0.95	12.363836
H1	CTCF.RPM	0.1	0.116277
H1	CTCF.RPM	0.25	0.193795
H1	CTCF.RPM	0.3	0.232555
H1	CTCF.RPM	0.35	0.232555
H1	CTCF.RPM	0.4	0.271314
H1	CTCF.RPM	0.5	0.348832
H1	CTCF.RPM	0.6	0.503868
H1	CTCF.RPM	0.7	1.085255
H1	CTCF.RPM	0.75	2.054232
H1	CTCF.RPM	0.85	5.387514
H1	CTCF.RPM	0.9	7.596782
H1	CTCF.RPM	0.95	10.65875
H1	DHS.RPM	0.1	0.573929
H1	DHS.RPM	0.25	0.669583
H1	DHS.RPM	0.3	0.717411
H1	DHS.RPM	0.35	0.765238
H1	DHS.RPM	0.4	0.813066
H1	DHS.RPM	0.5	0.956548
H1	DHS.RPM	0.6	1.147857
H1	DHS.RPM	0.7	1.482649
H1	DHS.RPM	0.75	1.721786
H1	DHS.RPM	0.85	2.439197
H1	DHS.RPM	0.9	3.156608
H1	DHS.RPM	0.95	4.543602
H1	H3K27ac.RPM	0.1	0.140162
H1	H3K27ac.RPM	0.25	0.233861
H1	H3K27ac.RPM	0.3	0.247918
H1	H3K27ac.RPM	0.35	0.273295
H1	H3K27ac.RPM	0.4	0.305699
H1	H3K27ac.RPM	0.5	0.345132
H1	H3K27ac.RPM	0.6	0.409942
H1	H3K27ac.RPM	0.7	0.48178
H1	H3K27ac.RPM	0.75	0.539561
H1	H3K27ac.RPM	0.85	0.704322
H1	H3K27ac.RPM	0.9	0.881179
H1	H3K27ac.RPM	0.95	1.308692
H1	H3K27ac.RPM.expandedRegion	0.1	0.24089
H1	H3K27ac.RPM.expandedRegion	0.25	0.352161
H1	H3K27ac.RPM.expandedRegion	0.3	0.384566
H1	H3K27ac.RPM.expandedRegion	0.35	0.41697
H1	H3K27ac.RPM.expandedRegion	0.4	0.449375
H1	H3K27ac.RPM.expandedRegion	0.5	0.517699
H1	H3K27ac.RPM.expandedRegion	0.6	0.597342
H1	H3K27ac.RPM.expandedRegion	0.7	0.700808
H1	H3K27ac.RPM.expandedRegion	0.75	0.769908
H1	H3K27ac.RPM.expandedRegion	0.85	1.006507
H1	H3K27ac.RPM.expandedRegion	0.9	1.255202
H1	H3K27ac.RPM.expandedRegion	0.95	1.869338
H9	CTCF.RPM	0.1	0.164106
H9	CTCF.RPM	0.25	0.236334
H9	CTCF.RPM	0.3	0.26052
H9	CTCF.RPM	0.35	0.286265
H9	CTCF.RPM	0.4	0.315421
H9	CTCF.RPM	0.5	0.39153
H9	CTCF.RPM	0.6	0.530895
H9	CTCF.RPM	0.7	0.9051686
H9	CTCF.RPM	0.75	1.4054965
H9	CTCF.RPM	0.85	4.2568258
H9	CTCF.RPM	0.9	6.575466
H9	CTCF.RPM	0.95	8.7921993
H9	DHS.RPM	0.1	0.6902562
H9	DHS.RPM	0.25	0.830595
H9	DHS.RPM	0.3	0.8832
H9	DHS.RPM	0.35	0.941968
H9	DHS.RPM	0.4	1.008898
H9	DHS.RPM	0.5	1.177867
H9	DHS.RPM	0.6	1.4188052
H9	DHS.RPM	0.7	1.7866446
H9	DHS.RPM	0.75	2.0555325
H9	DHS.RPM	0.85	2.9699972
H9	DHS.RPM	0.9	3.8455436
H9	DHS.RPM	0.95	5.58198729999999
H9	H3K27ac.RPM	0.1	0.212108
H9	H3K27ac.RPM	0.25	0.322667
H9	H3K27ac.RPM	0.3	0.35256
H9	H3K27ac.RPM	0.35	0.386959
H9	H3K27ac.RPM	0.4	0.419709
